run_id,pattern_id,parent_route_id,direction_id,name,city,start_stop_name,end_stop_name,start_stop_key,end_stop_key,geometry_source,evidence_kind,centroid_easting,centroid_northing,centroid_lon,centroid_lat,start_lon,start_lat,end_lon,end_lat,endpoint_separation_m,bearing_deg,heading_reason,axial_cos2,axial_sin2,orientation_strength,corridor_deg,corridor_reason,length_km,distance_to_reference_km,distance_to_city_hall_km,river_crossing_status,river_crossing,metro_proximity
00785592a53aa515ec69,NewTaipei:10116:101160:0:ff7bdc67505e9598,NewTaipei:10116,0,242,NewTaipei,中和站,峨眉街口(中醫院區),stop:d67586082784bee2,stop:35e72d4e62b6309f,official_shape_verified,estimated,301407.29010530654,2766891.0200444106,121.50931915181894,25.00918058299986,121.4909948,24.989828459999995,121.503074,25.044993999999992,6230.872308024794,11.073157314265769,,0.3148252343389141,-0.04266306820295195,0.31770279439287574,176.1413298184502,,13.035642063686415,4.185143794136979,6.666021702481306,verified_geometry,1.0,0.484375
00785592a53aa515ec69,NewTaipei:10116:101160:1:9b1467783dd0542d,NewTaipei:10116,1,242,NewTaipei,漢口街,中和站,stop:fb8059daa8f8024e,stop:6521187a278fcecd,official_shape_verified,estimated,301407.31573317363,2766860.441080621,121.50931826718072,25.008904514835184,121.5058766,25.045835799999995,121.49109299999999,24.99,6362.12374584163,193.35289749816422,,0.33787196254191504,0.008227651870840439,0.33797212507429214,0.6974780870360402,,12.406499606055169,4.215152679630099,6.682411518636228,verified_geometry,1.0,0.484375
00785592a53aa515ec69,NewTaipei:10143:10143:0:b56855db4cf7d5ae,NewTaipei:10143,0,棕7,NewTaipei,新店站,捷運市政府站,stop:e3918923172d3f0b,stop:c38e56e516f61963,official_shape_verified,estimated,305041.4185050231,2764331.2663043467,121.54522115501703,24.985943530763628,121.48341420000001,24.960308959999995,121.56683540000002,25.04100991,12280.611069533334,43.06852750692754,,-0.011567689540026802,0.19207928886223805,0.19242729705298448,,orientation_strength_below_0.3,20.322513547803062,7.242888631142856,6.443847648839844,unverified_bridge,,0.328125
00785592a53aa515ec69,NewTaipei:10143:10143:1:a3bb26ed87f64942,NewTaipei:10143,1,棕7,NewTaipei,消防局(松仁),新店站,stop:46ddb33c29c6e319,stop:ab5308470665282d,official_shape_verified,estimated,304949.54449987743,2764039.3371884823,121.54429951243524,24.98331132823487,121.568284,25.038604000000003,121.48341420000001,24.960308959999995,12190.390708578236,224.4277657113717,,0.03490373965613426,0.2133416802251758,0.21617803672733354,,orientation_strength_below_0.3,19.406222159709465,7.478342389895268,6.749877085437328,verified_geometry,1.0,0.328125
00785592a53aa515ec69,NewTaipei:10148:101480:0:466ad563122a78aa,NewTaipei:10148,0,702,NewTaipei,三峽一站,萬坪公園,stop:1d8ee9f1cc18794e,stop:ae886f03fe04b1b0,official_shape_verified,estimated,290470.3447238708,2762953.4794501276,121.40084812927627,24.97396340215647,121.36716100000001,24.937479999999997,121.46087100000001,25.013297999999995,12650.6291658288,48.23239655866185,,-0.19947453505714385,0.25980838838858694,0.32755226882642496,63.758086853446166,,20.69874487045466,14.232476942222068,18.1887076162165,verified_geometry,1.0,0.09375
00785592a53aa515ec69,NewTaipei:10148:101480:1:6a3c55d26100588d,NewTaipei:10148,1,702,NewTaipei,新北板橋公車站,三峽一站,stop:aedb4dd81d35102e,stop:ae10ade1b105ba27,official_shape_verified,estimated,290212.2069818211,2762823.209929414,121.39828760483141,24.972794165464578,121.46261,25.012769,121.36716100000001,24.937479999999997,12744.066370182276,228.95312880921784,,-0.2160490755218474,0.25856169535160783,0.3369441397872095,64.94073402550981,,20.595058333873546,14.519106040150712,18.47760136276141,verified_geometry,1.0,0.0625
00785592a53aa515ec69,NewTaipei:10149:101490:0:8795353df3583e42,NewTaipei:10149,0,624綠野香坡,NewTaipei,伴山別墅(一),峨眉街口(中醫院區),stop:8c4514a85cec3a42,stop:35e72d4e62b6309f,official_shape_verified,estimated,301003.779328969,2764685.287107116,121.5052400426944,24.989280794650274,121.478019,24.956279999999996,121.503074,25.044993999999992,10146.673352486097,14.226139085931521,,0.19371938538945546,0.0487770960144952,0.19976587639353138,,orientation_strength_below_0.3,18.69632321413483,6.42737069724555,8.351232803657325,verified_geometry,1.0,0.234375
00785592a53aa515ec69,NewTaipei:10149:101490:1:8228679826e1d0c7,NewTaipei:10149,1,624綠野香坡,NewTaipei,漢口街,伴山別墅(一),stop:fb8059daa8f8024e,stop:bdeda3d75ee72cd0,official_shape_verified,estimated,300988.4417798876,2764590.84794649,121.50508463080303,24.988428709524868,121.5058766,25.045835799999995,121.47827600000001,24.956138,10318.635231720715,195.45649455135097,,0.2008761399481233,0.08006362437661588,0.21624386129732762,,orientation_strength_below_0.3,18.09262844534611,6.52301036387048,8.427790762748852,verified_geometry,1.0,0.234375
00785592a53aa515ec69,NewTaipei:10151:101510:0:995ae95c0ef44acc,NewTaipei:10151,0,701,NewTaipei,樹林藝文綜合行政大樓,漢口街,stop:708bfa8d97ed72ca,stop:dd903676b07c924f,official_shape_verified,estimated,295122.4758155991,2767131.2396572707,121.44706163055139,25.01154951126526,121.42796,24.995638,121.5058766,25.045835799999995,9630.926898443127,54.539949307696915,,0.030631498100813843,0.18947671022752757,0.19193674060623883,,orientation_strength_below_0.3,23.366533679497895,8.074787956365205,12.371964811546471,verified_geometry,1.0,0.265625
00785592a53aa515ec69,NewTaipei:10151:101510:1:9babe5125afc1e67,NewTaipei:10151,1,701,NewTaipei,中華路北站,樹林藝文綜合行政大樓,stop:509f5f7928be3946,stop:d6a2c28cca42495a,official_shape_verified,estimated,295052.9631337638,2767082.117719514,121.4463713305933,25.011108102590594,121.50870900000001,25.044605,121.42731800000001,24.995035,9880.549825754752,236.04305950729906,,0.023506780486282405,0.23995345186801675,0.2411021107170298,,orientation_strength_below_0.3,22.55348598316922,8.159341429923925,12.452158174975931,verified_geometry,1.0,0.25
