domain,city,threshold_m,P,C,M,lower,upper,cells,support_points
residential_locations,Both,500,6294407.45667,98289.4314203,69545.8936881,0.0156153588875,0.0266641977444,6368,18490
all_known_allocated_locations,Both,500,6475676.37515,136697.481544,95559.2310409,0.0211093750868,0.0358660160158,20793,32915
