scenario_id,baseline_mean_headway_min,headway_cv,frequency_factor,vehicle_reduction,mean_headway_min,frequency_vehicles_per_hour,wait_min,excess_wait_vs_regular_min,access_min,vehicle_min,total_min,saving_vs_same_cv_baseline_min,holding_cost_min,evidence_kind,actual_route_id
H20-CV0-F1.2-V0.1,20,0,1.2,0.1,16.6666666667,3.6,8.33333333333,0,8,18,34.3333333333,3.66666666667,,conditional_scenario,
H20-CV0-F1.2-V0.2,20,0,1.2,0.2,16.6666666667,3.6,8.33333333333,0,8,16,32.3333333333,5.66666666667,,conditional_scenario,
H20-CV0.5-F1-V0,20,0.5,1,0,20,3,12.5,2.5,8,20,40.5,0,,conditional_scenario,
H20-CV0.5-F1-V0.1,20,0.5,1,0.1,20,3,12.5,2.5,8,18,38.5,2,,conditional_scenario,
H20-CV0.5-F1-V0.2,20,0.5,1,0.2,20,3,12.5,2.5,8,16,36.5,4,,conditional_scenario,
H20-CV0.5-F1.2-V0,20,0.5,1.2,0,16.6666666667,3.6,10.4166666667,2.08333333333,8,20,38.4166666667,2.08333333333,,conditional_scenario,
H20-CV0.5-F1.2-V0.1,20,0.5,1.2,0.1,16.6666666667,3.6,10.4166666667,2.08333333333,8,18,36.4166666667,4.08333333333,,conditional_scenario,
H20-CV0.5-F1.2-V0.2,20,0.5,1.2,0.2,16.6666666667,3.6,10.4166666667,2.08333333333,8,16,34.4166666667,6.08333333333,,conditional_scenario,
H20-CV1-F1-V0,20,1,1,0,20,3,20,10,8,20,48,0,,conditional_scenario,
H20-CV1-F1-V0.1,20,1,1,0.1,20,3,20,10,8,18,46,2,,conditional_scenario,
H20-CV1-F1-V0.2,20,1,1,0.2,20,3,20,10,8,16,44,4,,conditional_scenario,
H20-CV1-F1.2-V0,20,1,1.2,0,16.6666666667,3.6,16.6666666667,8.33333333333,8,20,44.6666666667,3.33333333333,,conditional_scenario,
H20-CV1-F1.2-V0.1,20,1,1.2,0.1,16.6666666667,3.6,16.6666666667,8.33333333333,8,18,42.6666666667,5.33333333333,,conditional_scenario,
H20-CV1-F1.2-V0.2,20,1,1.2,0.2,16.6666666667,3.6,16.6666666667,8.33333333333,8,16,40.6666666667,7.33333333333,,conditional_scenario,
