metric,pair_scope,hundred_relation,number_gap_bin,pair_count,finite_pair_count,nonfinite_pair_count,parent_count,median,p25,p75,p90,unit,inference
geometry,different_city,all,10–49,2246,2246,0,344,10588.409668,6399.96337891,15558.2629395,20188.7041016,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,all,10–49,2246,2246,0,344,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,all,50–99,1993,1993,0,343,12136.5947266,8019.83203125,16762.0410156,22631.5980469,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,all,50–99,1993,1993,0,343,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,all,100–299,8491,8491,0,376,13000.9580078,8227.07666016,18565.5234375,25458.9960938,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,all,100–299,8491,8491,0,376,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,all,≥300,22148,22148,0,377,12515.8764648,8347.3684082,17559.2998047,23024.965625,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,all,≥300,22148,22148,0,377,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,1–9,311,311,0,184,8448.5078125,5112.91845703,11373.4799805,16866.7773438,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,1–9,311,311,0,184,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,10–49,1507,1507,0,282,9115.84960938,5528.5012207,13665.4130859,17770.9566406,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,10–49,1507,1507,0,282,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,50–99,487,487,0,213,10642.9277344,6782.05712891,14550.8618164,18665.040625,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,50–99,487,487,0,213,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,100–299,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,100–299,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,same_hundred,≥300,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,same_hundred,≥300,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,1–9,37,37,0,24,11464.2851562,8689.58300781,16062.0869141,19010.8144531,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,1–9,37,37,0,24,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,10–49,739,739,0,174,13842.7158203,9035.8125,18570.6230469,24206.8554688,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,10–49,739,739,0,174,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,50–99,1506,1506,0,282,12771.3461914,8557.85961914,17627.0961914,23298.3876953,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,50–99,1506,1506,0,282,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,100–299,8491,8491,0,376,13000.9580078,8227.07666016,18565.5234375,25458.9960938,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,100–299,8491,8491,0,376,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,different_city,cross_hundred,≥300,22148,22148,0,377,12515.8764648,8347.3684082,17559.2998047,23024.965625,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,different_city,cross_hundred,≥300,22148,22148,0,377,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,1–9,1074,1074,0,195,10475.2617188,3840.77148438,19112.0351562,28223.8980469,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,1–9,1074,1074,0,195,1,0.9697727561,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,10–49,3670,3670,0,205,15829.265625,7797.03051758,24473.1381836,36239.9433594,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,10–49,3670,3670,0,205,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,50–99,3776,3776,0,206,17109.3662109,9606.31176758,25224.5732422,38007.6035156,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,50–99,3776,3776,0,206,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,100–299,7628,7628,0,206,14476.8139648,7194.43041992,22966.8256836,35178.6386719,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,100–299,7628,7628,0,206,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,all,≥300,4967,4967,0,206,12052.2578125,6395.6015625,19495.8144531,27394.4617188,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,all,≥300,4967,4967,0,206,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,1–9,1047,1047,0,195,10538.4638672,3875.73132324,19238.4404297,28319.2769531,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,1–9,1047,1047,0,195,1,0.970074653625,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,10–49,2568,2568,0,203,14530.5136719,6959.10095215,23302.8857422,34729.1441406,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,10–49,2568,2568,0,203,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,50–99,1098,1098,0,177,17513.1601562,10543.5512695,24765.0249023,39278.4925781,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,50–99,1098,1098,0,177,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,100–299,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,100–299,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,same_hundred,≥300,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,same_hundred,≥300,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,cross_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,1–9,27,27,0,18,5733.16943359,3356.08361816,12392.1308594,15610.4005859,metres_mean_aligned_point_distance,descriptive_dependent_pairs
