comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,58.7337694705,1,1801.72759258,0.723333884571,0.613872177657
p90_minus_mean,Both,all,58.7938654476,1,2915.5576782,0.723499255829,0.614350326329
p90_minus_mean,Both,all,58.8856493946,1,2917.73236251,0.723664627088,0.614828831648
p90_minus_mean,Both,all,58.8887903036,1,344.221032663,0.723829998346,0.614885283568
p90_minus_mean,Both,all,58.9466126923,1,37.7981361404,0.723995369605,0.614891482426
p90_minus_mean,Both,all,58.9661260371,1,3482.49894362,0.724160740863,0.615462608924
p90_minus_mean,Both,all,58.9975237207,1,496.050178526,0.724326112122,0.615543960679
p90_minus_mean,Both,all,58.9992524261,1,2893.94413872,0.72449148338,0.616018564752
p90_minus_mean,Both,all,59.0010772593,1,800.299911671,0.724656854639,0.616149813172
p90_minus_mean,Both,all,59.0619676498,1,635.614618924,0.724822225897,0.616254053362
p90_minus_mean,Both,all,59.0641053744,1,10.4932403959,0.724987597156,0.616255774244
p90_minus_mean,Both,all,59.0990369761,1,297.140239811,0.725152968414,0.616304504959
p90_minus_mean,Both,all,59.1505618996,1,1028.78480723,0.725318339673,0.616473224684
p90_minus_mean,Both,all,59.1611479129,1,2206.28847006,0.725483710931,0.616835053884
p90_minus_mean,Both,all,59.1766484258,1,10.6905374688,0.72564908219,0.616836807122
p90_minus_mean,Both,all,59.2070642767,1,2247.96646418,0.725814453448,0.617205471474
p90_minus_mean,Both,all,59.2820790135,1,2228.92546709,0.725979824706,0.61757101312
p90_minus_mean,Both,all,59.2876256387,1,21.4940040626,0.726145195965,0.617574538116
p90_minus_mean,Both,all,59.3648126956,1,26.2361838526,0.726310567223,0.617578840825
p90_minus_mean,Both,all,59.3860706466,1,3093.99902173,0.726475938482,0.618086253707
p90_minus_mean,Both,all,59.3954024042,1,992.415469553,0.72664130974,0.618249008895
p90_minus_mean,Both,all,59.3981370972,1,721.901472923,0.726806680999,0.618367400047
p90_minus_mean,Both,all,59.4184643044,1,25.6555344269,0.726972052257,0.61837160753
p90_minus_mean,Both,all,59.422073972,1,3137.49080061,0.727137423516,0.618886153022
p90_minus_mean,Both,all,59.4329738814,1,919.730294021,0.727302794774,0.619036987911
p90_minus_mean,Both,all,59.4424037898,1,2864.493327,0.727468166033,0.619506762079
p90_minus_mean,Both,all,59.4728167333,1,186.7658646,0.727633537291,0.619537391502
p90_minus_mean,Both,all,59.4997063633,1,626.885076294,0.72779890855,0.619640200056
p90_minus_mean,Both,all,59.5153314429,1,94.8533351926,0.727964279808,0.619655755912
p90_minus_mean,Both,all,59.5302795518,1,2016.6967546,0.728129651067,0.619986492252
p90_minus_mean,Both,all,59.597883782,1,2815.62360283,0.728295022325,0.620448251832
p90_minus_mean,Both,all,59.6392592399,1,2560.80226165,0.728460393584,0.620868220955
p90_minus_mean,Both,all,59.708055976,1,2552.08640967,0.728625764842,0.621286760686
p90_minus_mean,Both,all,59.7247979067,1,1725.70886765,0.728791136101,0.621569775291
p90_minus_mean,Both,all,59.7265973133,1,1151.3820917,0.728956507359,0.621758600854
p90_minus_mean,Both,all,59.73921554,1,2325.62250947,0.729121878617,0.622140000722
p90_minus_mean,Both,all,59.7847047586,1,1610.08035683,0.729287249876,0.622404052362
p90_minus_mean,Both,all,59.7955523999,1,55.8580752763,0.729452621134,0.622413213033
p90_minus_mean,Both,all,59.8205197568,1,178.036675471,0.729617992393,0.622442410877
p90_minus_mean,Both,all,59.9012041153,1,1778.84961985,0.729783363651,0.622734140515
p90_minus_mean,Both,all,59.9125031746,1,1159.44193191,0.72994873491,0.622924287883
p90_minus_mean,Both,all,59.9351160251,1,20.678160759,0.730114106168,0.622927679082
p90_minus_mean,Both,all,59.980660632,1,2948.93399859,0.730279477427,0.623411301439
p90_minus_mean,Both,all,60.0005452361,1,2293.45707285,0.730444848685,0.623787426207
p90_minus_mean,Both,all,60.0399907331,1,2813.72919304,0.730610219944,0.624248875105
p90_minus_mean,Both,all,60.0496272357,1,2637.82161567,0.730775591202,0.624681475328
p90_minus_mean,Both,all,60.0637047459,1,2139.91159931,0.730940962461,0.625032418785
p90_minus_mean,Both,all,60.0955289841,1,4022.31362443,0.731106333719,0.625692074375
p90_minus_mean,Both,all,60.1201182108,1,2.67831413847,0.731271704978,0.625692513616
p90_minus_mean,Both,all,60.1415198057,1,414.737566481,0.731437076236,0.62576053018
p90_minus_mean,Both,all,60.1690603752,1,1900.13904421,0.731602447495,0.626072151167
p90_minus_mean,Both,all,60.170587494,1,1507.26677477,0.731767818753,0.626319341478
p90_minus_mean,Both,all,60.2177732537,1,3339.20976405,0.731933190012,0.626866968687
p90_minus_mean,Both,all,60.2968545345,1,4987.0840021,0.73209856127,0.627684845696
p90_minus_mean,Both,all,60.3225740281,1,1057.56228213,0.732263932529,0.6278582849
p90_minus_mean,Both,all,60.4172675243,1,2770.31152264,0.732429303787,0.628312613342
p90_minus_mean,Both,all,60.4237626457,1,4.57248828802,0.732594675045,0.628313363225
p90_minus_mean,Both,all,60.4435782649,1,2457.58850277,0.732760046304,0.628716405391
p90_minus_mean,Both,all,60.4479290163,1,2574.08608683,0.732925417562,0.629138553048
p90_minus_mean,Both,all,60.4749875361,1,24.7505079535,0.733090788821,0.629142612108
p90_minus_mean,Both,all,60.5085252881,1,134.391785305,0.733256160079,0.629164652232
p90_minus_mean,Both,all,60.5569215659,1,2711.74417207,0.733421531338,0.629609375685
p90_minus_mean,Both,all,60.6007328988,1,1598.19433878,0.733586902596,0.629871478028
p90_minus_mean,Both,all,60.6028876642,1,10.0290465406,0.733752273855,0.629873122782
p90_minus_mean,Both,all,60.606027072,1,451.355110259,0.733917645113,0.629947144589
p90_minus_mean,Both,all,60.6135645915,1,1406.08416212,0.734083016372,0.630177741048
p90_minus_mean,Both,all,60.6202280942,1,666.632169591,0.73424838763,0.630287068086
p90_minus_mean,Both,all,60.6863598331,1,4781.8777875,0.734413758889,0.631071291473
p90_minus_mean,Both,all,60.7149921977,1,45.8779697919,0.734579130147,0.631078815416
p90_minus_mean,Both,all,60.7215791951,1,58.6352287216,0.734744501406,0.631088431537
p90_minus_mean,Both,all,60.7310046495,1,2820.55188549,0.734909872664,0.631550999351
p90_minus_mean,Both,all,60.7415995257,1,2165.03712814,0.735075243923,0.63190606337
p90_minus_mean,Both,all,60.7817090915,1,1187.60265103,0.735240615181,0.63210082907
p90_minus_mean,Both,all,60.783687152,1,85.7159279156,0.73540598644,0.6321148864
p90_minus_mean,Both,all,60.7853506286,1,354.823907951,0.735571357698,0.632173077182
p90_minus_mean,Both,all,60.8005933274,1,3484.10857519,0.735736728957,0.632744467658
p90_minus_mean,Both,all,60.8584843563,1,44.4946873064,0.735902100215,0.632751764744
p90_minus_mean,Both,all,60.8818052161,1,3250.51212396,0.736067471473,0.633284845625
p90_minus_mean,Both,all,60.9203915684,1,3088.93006406,0.736232842732,0.633791427203
p90_minus_mean,Both,all,61.0092673679,1,1928.31867645,0.73639821399,0.634107669623
p90_minus_mean,Both,all,61.0834104329,1,2816.4192318,0.736563585249,0.634569559685
p90_minus_mean,Both,all,61.151561026,1,2275.55629082,0.736728956507,0.634942748741
p90_minus_mean,Both,all,61.1567298721,1,741.370663768,0.736894327766,0.635064332822
p90_minus_mean,Both,all,61.1850996569,1,1356.1891272,0.737059699024,0.635286746542
p90_minus_mean,Both,all,61.2078850794,1,3554.4800608,0.737225070283,0.635869677874
p90_minus_mean,Both,all,61.2431798491,1,2756.88694661,0.737390441541,0.636321804699
p90_minus_mean,Both,all,61.2446768166,1,119.373121925,0.7375558128,0.636341381776
p90_minus_mean,Both,all,61.3085115313,1,11.2554803543,0.737721184058,0.636343227664
p90_minus_mean,Both,all,61.4027431219,1,2633.95291801,0.737886555317,0.636775193425
p90_minus_mean,Both,all,61.4643614148,1,1974.84903312,0.738051926575,0.637099066779
p90_minus_mean,Both,all,61.4697696805,1,2779.84902402,0.738217297834,0.637554959362
p90_minus_mean,Both,all,61.4828822054,1,1102.04321299,0.738382669092,0.637735693395
p90_minus_mean,Both,all,61.4957868313,1,949.187781613,0.738548040351,0.637891359284
p90_minus_mean,Both,all,61.5023136778,1,3587.0410178,0.738713411609,0.638479630582
p90_minus_mean,Both,all,61.5154812552,1,5.61339784736,0.738878782868,0.638480551174
p90_minus_mean,Both,all,61.5382828305,1,49.8568589753,0.739044154126,0.638488727652
p90_minus_mean,Both,all,61.5952252533,1,25.1120209124,0.739209525384,0.638492845999
p90_minus_mean,Both,all,61.6450052573,1,2885.95109615,0.739374896643,0.63896613922
p90_minus_mean,Both,all,61.6725370156,1,326.611792255,0.739540267901,0.639019703242
p90_minus_mean,Both,all,61.6798399974,1,1821.77494998,0.73970563916,0.639318472592
p90_minus_mean,Both,all,61.6952241644,1,2899.58336491,0.739871010418,0.639794001493
p90_minus_mean,Both,all,61.7356817217,1,1499.6429639,0.740036381677,0.640039941505
p90_minus_mean,Both,all,61.781751699,1,1030.05198792,0.740201752935,0.640208869047
p90_minus_mean,Both,all,61.8039969384,1,3557.3427214,0.740367124194,0.640792269853
p90_minus_mean,Both,all,61.8232833031,1,2099.3287039,0.740532495452,0.641136557754
p90_minus_mean,Both,all,61.8248187534,1,261.904883481,0.740697866711,0.641179509904
p90_minus_mean,Both,all,61.8546621842,1,3253.42127068,0.740863237969,0.641713067883
p90_minus_mean,Both,all,61.8588052496,1,201.320795601,0.741028609228,0.641746084301
p90_minus_mean,Both,all,61.8764316911,1,2622.07935775,0.741193980486,0.642176102809
p90_minus_mean,Both,all,61.8875130091,1,1989.96941105,0.741359351745,0.64250245589
p90_minus_mean,Both,all,61.8955680315,1,1325.04960916,0.741524723003,0.64271976276
p90_minus_mean,Both,all,61.9338734729,1,26.1765177616,0.741690094262,0.642724055684
p90_minus_mean,Both,all,61.9500696409,1,1278.98738898,0.74185546552,0.642933808393
p90_minus_mean,Both,all,61.9537574979,1,45.4539964392,0.742020836779,0.642941262805
p90_minus_mean,Both,all,62.0067601427,1,34.0094508812,0.742186208037,0.642946840322
p90_minus_mean,Both,all,62.0107233478,1,3706.00315383,0.742351579296,0.643554621297
p90_minus_mean,Both,all,62.0229427225,1,10.6804259738,0.742516950554,0.643556372877
p90_minus_mean,Both,all,62.0289114424,1,1188.51971747,0.742682321812,0.643751288974
p90_minus_mean,Both,all,62.0571901712,1,3653.34775877,0.742847693071,0.644350434515
p90_minus_mean,Both,all,62.0610854845,1,2634.628752,0.743013064329,0.644782511112
p90_minus_mean,Both,all,62.116236167,1,3631.40898009,0.743178435588,0.645378058713
p90_minus_mean,Both,all,62.136219399,1,1760.17303157,0.743343806846,0.645666725408
p90_minus_mean,Both,all,62.1523701866,1,1131.993581,0.743509178105,0.645852371273
p90_minus_mean,Both,all,62.1719696458,1,1167.13227877,0.743674549363,0.646043779851
p90_minus_mean,Both,all,62.1869808984,1,1246.36685669,0.743839920622,0.646248182824
p90_minus_mean,Both,all,62.213961432,1,354.074036436,0.74400529188,0.646306250628
p90_minus_mean,Both,all,62.2254765613,1,3257.21980906,0.744170663139,0.646840431563
p90_minus_mean,Both,all,62.2732717197,1,2562.93976994,0.744336034397,0.647260751236
p90_minus_mean,Both,all,62.2776538786,1,2503.35509451,0.744501405656,0.647671299078
p90_minus_mean,Both,all,62.3166205266,1,305.103102548,0.744666776914,0.647721335696
p90_minus_mean,Both,all,62.338635433,1,4150.87390912,0.744832148173,0.648402075049
p90_minus_mean,Both,all,62.3963717161,1,2436.44322969,0.744997519431,0.64880164941
p90_minus_mean,Both,all,62.4753362169,1,2035.66336706,0.74516289069,0.649135496256
p90_minus_mean,Both,all,62.4806245009,1,15.5669720319,0.745328261948,0.649138049225
p90_minus_mean,Both,all,62.4821967407,1,81.1802148344,0.745493633207,0.649151362702
p90_minus_mean,Both,all,62.5280823665,1,947.850947713,0.745659004465,0.649306809352
p90_minus_mean,Both,all,62.5283750448,1,641.891362792,0.745824375723,0.649412078922
p90_minus_mean,Both,all,62.559207772,1,891.298430146,0.745989746982,0.649558251012
p90_minus_mean,Both,all,62.5789485803,1,51.4096972028,0.74615511824,0.649566682153
p90_minus_mean,Both,all,62.6459495034,1,3177.56924859,0.746320489499,0.650087800473
p90_minus_mean,Both,all,62.7252208754,1,6.66495658003,0.746485860757,0.650088893519
p90_minus_mean,Both,all,62.7761636539,1,2065.4478216,0.746651232016,0.650427624988
p90_minus_mean,Both,all,62.7819046833,1,2108.98707147,0.746816603274,0.650773496852
p90_minus_mean,Both,all,62.9255948974,1,2775.56301383,0.746981974533,0.651228686533
p90_minus_mean,Both,all,62.9646900286,1,123.590037542,0.747147345791,0.651248955181
p90_minus_mean,Both,all,62.977104371,1,2275.83772031,0.74731271705,0.651622190392
p90_minus_mean,Both,all,62.9788596325,1,2299.39918667,0.747478088308,0.65199928966
p90_minus_mean,Both,all,62.9853549552,1,2724.62733479,0.747643459567,0.652446125939
p90_minus_mean,Both,all,62.986179375,1,3050.68804519,0.747808830825,0.652946435862
p90_minus_mean,Both,all,63.0154641509,1,2100.02186449,0.747974202084,0.653290837441
p90_minus_mean,Both,all,63.0416248995,1,57.4867257098,0.748139573342,0.653300265209
p90_minus_mean,Both,all,63.0538379154,1,2652.98321052,0.748304944601,0.65373535192
p90_minus_mean,Both,all,63.065349312,1,130.89504455,0.748470315859,0.653756818582
p90_minus_mean,Both,all,63.1041652307,1,2702.78453889,0.748635687118,0.654200072663
p90_minus_mean,Both,all,63.1109098235,1,4391.96492347,0.748801058376,0.654920350712
p90_minus_mean,Both,all,63.1319201588,1,2627.18184446,0.748966429635,0.655351206023
p90_minus_mean,Both,all,63.1375630629,1,3364.25773935,0.749131800893,0.655902941077
p90_minus_mean,Both,all,63.1398874741,1,2191.23833499,0.749297172151,0.656262302069
p90_minus_mean,Both,all,63.1677266113,1,1019.66604889,0.74946254341,0.656429526327
p90_minus_mean,Both,all,63.1948541735,1,3374.52489309,0.749627914668,0.656982945184
p90_minus_mean,Both,all,63.2396907949,1,3051.30760257,0.749793285927,0.657483356714
p90_minus_mean,Both,all,63.2693087226,1,2159.52823371,0.749958657185,0.65783751728
p90_minus_mean,Both,all,63.3324561616,1,1295.30609662,0.750124028444,0.658049946242
p90_minus_mean,Both,all,63.3660120031,1,3540.55985529,0.750289399702,0.658630594674
p90_minus_mean,Both,all,63.4407903431,1,2984.4802389,0.750454770961,0.65912004658
p90_minus_mean,Both,all,63.4453671622,1,29.1229529898,0.750620142219,0.659124822716
p90_minus_mean,Both,all,63.4673651628,1,1540.72988825,0.750785513478,0.659377500945
p90_minus_mean,Both,all,63.5031347069,1,806.690553512,0.750950884736,0.659509797425
p90_minus_mean,Both,all,63.5182044228,1,7.52539302276,0.751116255995,0.659511031582
p90_minus_mean,Both,all,63.5906830947,1,110.358924161,0.751281627253,0.65952913034
p90_minus_mean,Both,all,63.6453299911,1,2032.59558249,0.751446998512,0.659862474073
p90_minus_mean,Both,all,63.6728091946,1,2450.72300796,0.75161236977,0.660264390304
p90_minus_mean,Both,all,63.6788443428,1,125.277061897,0.751777741029,0.660284935622
p90_minus_mean,Both,all,63.6851042357,1,2780.58256971,0.751943112287,0.660740948506
p90_minus_mean,Both,all,63.696285942,1,375.857546286,0.752108483546,0.660802588784
p90_minus_mean,Both,all,63.8165176709,1,2136.55232184,0.752273854804,0.661152981323
p90_minus_mean,Both,all,63.824529494,1,85.927094605,0.752439226063,0.661167073284
p90_minus_mean,Both,all,63.8370715293,1,1285.42783154,0.752604597321,0.66137788222
p90_minus_mean,Both,all,63.8410189871,1,1787.15546535,0.752769968579,0.661670974008
p90_minus_mean,Both,all,63.9058595007,1,1532.80178601,0.752935339838,0.661922352036
p90_minus_mean,Both,all,63.9062764017,1,3073.31392233,0.753100711096,0.662426372581
p90_minus_mean,Both,all,63.9273116563,1,1168.82291514,0.753266082355,0.662618058422
p90_minus_mean,Both,all,63.9298482576,1,609.260136406,0.753431453613,0.662717976502
p90_minus_mean,Both,all,63.9316917468,1,7.10694674484,0.753596824872,0.662719142035
p90_minus_mean,Both,all,63.940945725,1,1390.46262845,0.75376219613,0.662947176577
p90_minus_mean,Both,all,63.9731001207,1,1220.61863952,0.753927567389,0.663147356867
p90_minus_mean,Both,all,63.9899487864,1,79.8606279739,0.754092938647,0.663160453933
p90_minus_mean,Both,all,64.0466583105,1,3598.62538447,0.754258309906,0.663750625057
p90_minus_mean,Both,all,64.1288943757,1,1389.98104584,0.754423681164,0.66397858062
p90_minus_mean,Both,all,64.1706402952,1,1706.83751832,0.754589052423,0.664258500341
p90_minus_mean,Both,all,64.1965376153,1,782.312357059,0.754754423681,0.66438679882
p90_minus_mean,Both,all,64.2028651619,1,641.830457435,0.75491979494,0.664492058401
p90_minus_mean,Both,all,64.2131852894,1,2868.34801702,0.755085166198,0.664962464734
p90_minus_mean,Both,all,64.2215830377,1,1629.01484219,0.755250537457,0.665229621611
p90_minus_mean,Both,all,64.2410971818,1,2897.5995993,0.755415908715,0.665704825176
p90_minus_mean,Both,all,64.2446341129,1,30.1221298973,0.755581279974,0.665709765176
p90_minus_mean,Both,all,64.2662155689,1,2131.76414645,0.755746651232,0.666059372459
p90_minus_mean,Both,all,64.2866132442,1,1326.91886432,0.75591202249,0.666276985884
p90_minus_mean,Both,all,64.3436340208,1,374.885230928,0.756077393749,0.666338466704
p90_minus_mean,Both,all,64.3677288858,1,296.663317126,0.756242765007,0.666387119204
p90_minus_mean,Both,all,64.4166015534,1,1364.00060027,0.756408136266,0.666610813999
p90_minus_mean,Both,all,64.5127335329,1,22.1501384228,0.756573507524,0.6666144466
p90_minus_mean,Both,all,64.5347512169,1,137.454975176,0.756738878783,0.666636989085
p90_minus_mean,Both,all,64.5350724888,1,2619.64693358,0.756904250041,0.667066608678
p90_minus_mean,Both,all,64.5373944503,1,1241.74267368,0.7570696213,0.66727025329
p90_minus_mean,Both,all,64.5811427038,1,78.9347302454,0.757234992558,0.66728319851
p90_minus_mean,Both,all,64.585163945,1,464.967748453,0.757400363817,0.667359452776
p90_minus_mean,Both,all,64.5949993857,1,1072.63538029,0.757565735075,0.667535363953
p90_minus_mean,Both,all,64.6177560428,1,1717.77957465,0.757731106334,0.667817078162
p90_minus_mean,Both,all,64.6482731828,1,1524.72921418,0.757896477592,0.668067132295
p90_minus_mean,Both,all,64.6685477986,1,3159.57704579,0.758061848851,0.668585299911
p90_minus_mean,Both,all,64.6877317296,1,181.739803583,0.758227220109,0.668615105065
p90_minus_mean,Both,all,64.7185514849,1,1971.86118974,0.758392591368,0.668938488415
p90_minus_mean,Both,all,64.7373674594,1,205.084149857,0.758557962626,0.66897212202
p90_minus_mean,Both,all,64.7447423481,1,222.037963262,0.758723333885,0.669008536033
p90_minus_mean,Both,all,64.779414864,1,1288.04688302,0.758888705143,0.669219774491
p90_minus_mean,Both,all,64.780428203,1,107,0.759054076402,0.669237322389
p90_minus_mean,Both,all,64.7882311272,1,101.611291429,0.75921944766,0.669253986543
p90_minus_mean,Both,all,64.7964735668,1,757.286093761,0.759384818918,0.669378180739
p90_minus_mean,Both,all,64.8360642149,1,1465.57304907,0.759550190177,0.669618533318
p90_minus_mean,Both,all,64.9308590147,1,779.301583444,0.759715561435,0.669746338033
p90_minus_mean,Both,all,65.0102081282,1,1983.5953295,0.759880932694,0.670071645771
p90_minus_mean,Both,all,65.0910896757,1,1349.1076035,0.760046303952,0.670292898128
p90_minus_mean,Both,all,65.1875179854,1,3742.33500321,0.760211675211,0.670906637492
p90_minus_mean,Both,all,65.2033293559,1,847.835122586,0.760377046469,0.671045681641
p90_minus_mean,Both,all,65.2173760051,1,330.023482438,0.760542417728,0.671099805177
p90_minus_mean,Both,all,65.2212412925,1,3416.14640368,0.760707788986,0.671660049922
p90_minus_mean,Both,all,65.2769467229,1,2026.1228338,0.760873160245,0.67199233213
p90_minus_mean,Both,all,65.3032296659,1,3180.51104284,0.761038531503,0.672513932901
p90_minus_mean,Both,all,65.3460742744,1,657.67833503,0.761203902762,0.672621791519
p90_minus_mean,Both,all,65.3519167817,1,5113.07423189,0.76136927402,0.673460330806
p90_minus_mean,Both,all,65.3824458056,1,41.2513457584,0.761534645279,0.673467095987
p90_minus_mean,Both,all,65.4189951581,1,1783.2260018,0.761700016537,0.673759543347
p90_minus_mean,Both,all,65.4216651279,1,86.3083642333,0.761865387796,0.673773697836
p90_minus_mean,Both,all,65.4290466131,1,3795.92918649,0.762030759054,0.674396226594
p90_minus_mean,Both,all,65.4352417381,1,22.9340716705,0.762196130313,0.67439998776
p90_minus_mean,Both,all,65.4547638666,1,4710.79134197,0.762361501571,0.675172553037
p90_minus_mean,Both,all,65.4971983802,1,131.261530554,0.76252687283,0.675194079803
p90_minus_mean,Both,all,65.5201850681,1,83.674863359,0.762692244088,0.675207802401
p90_minus_mean,Both,all,65.5447946452,1,32.3973873338,0.762857615346,0.675213115541
p90_minus_mean,Both,all,65.5569770529,1,3152.81736911,0.763022986605,0.675730174576
p90_minus_mean,Both,all,65.5707330901,1,2441.48728767,0.763188357863,0.676130576157
p90_minus_mean,Both,all,65.6960235581,1,44.3406372243,0.763353729122,0.67613784798
p90_minus_mean,Both,all,65.7213826279,1,4969.37373524,0.76351910038,0.676952820522
p90_minus_mean,Both,all,65.7252072255,1,3233.24464099,0.763684471639,0.677483069553
p90_minus_mean,Both,all,65.7324256278,1,2461.76747609,0.763849842897,0.677886797066
p90_minus_mean,Both,all,65.7406603189,1,143.820233202,0.764015214156,0.677910383446
p90_minus_mean,Both,all,65.8062349831,1,3528.82383262,0.764180585414,0.678489107182
p90_minus_mean,Both,all,65.8223915603,1,2900.52467341,0.764345956673,0.678964790456
p90_minus_mean,Both,all,65.8628077178,1,14.9586929653,0.764511327931,0.678967243667
p90_minus_mean,Both,all,65.9070265532,1,86.4235646582,0.76467669919,0.678981417049
p90_minus_mean,Both,all,65.9191812433,1,4277.33067876,0.764842070448,0.679682895192
p90_minus_mean,Both,all,65.9350685379,1,2331.06011574,0.765007441707,0.680065186823
p90_minus_mean,Both,all,65.9938284007,1,2639.55297207,0.765172812965,0.680498070987
p90_minus_mean,Both,all,66.0046261784,1,445.444822643,0.765338184224,0.680571123512
p90_minus_mean,Both,all,66.0141894781,1,2898.84312523,0.765503555482,0.681046531014
p90_minus_mean,Both,all,66.047170692,1,2156.18964118,0.765668926741,0.681400144054
p90_minus_mean,Both,all,66.1837372532,1,3923.96472041,0.765834297999,0.682043670518
p90_minus_mean,Both,all,66.1974763055,1,2269.94565234,0.765999669257,0.682415939435
p90_minus_mean,Both,all,66.2106140738,1,162.148784131,0.766165040516,0.68244253168
p90_minus_mean,Both,all,66.2569763952,1,477.350077141,0.766330411774,0.682520816637
p90_minus_mean,Both,all,66.2892779249,1,1372.96543116,0.766495783033,0.682745981655
p90_minus_mean,Both,all,66.2893352057,1,12.5170666948,0.766661154291,0.682748034442
p90_minus_mean,Both,all,66.2939406957,1,799.648334177,0.76682652555,0.682879176005
p90_minus_mean,Both,all,66.296728383,1,2404.63210663,0.766991896808,0.683273533372
p90_minus_mean,Both,all,66.3874654623,1,2780.24017548,0.767157268067,0.683729490103
p90_minus_mean,Both,all,66.4153635446,1,445.646125501,0.767322639325,0.683802575641
p90_minus_mean,Both,all,66.4970992374,1,2300.9043483,0.767488010584,0.684179921755
p90_minus_mean,Both,all,66.5412108142,1,1104.39635601,0.767653381842,0.684361041702
p90_minus_mean,Both,all,66.5642239972,1,200.023979039,0.767818753101,0.684393845443
p90_minus_mean,Both,all,66.5697610097,1,1867.24286735,0.767984124359,0.684700071489
p90_minus_mean,Both,all,66.5748123214,1,886.585815298,0.768149495618,0.684845470715
p90_minus_mean,Both,all,66.5773761423,1,5.07928451994,0.768314866876,0.684846303713
p90_minus_mean,Both,all,66.5785030985,1,1251.31312192,0.768480238135,0.685051517869
p90_minus_mean,Both,all,66.6554515416,1,4032.5395881,0.768645609393,0.685712850507
p90_minus_mean,Both,all,66.6717243372,1,3223.86359388,0.768810980652,0.686241561055
p90_minus_mean,Both,all,66.6954926769,1,3068.02889793,0.76897635191,0.686744714861
p90_minus_mean,Both,all,66.6960319073,1,2426.60080446,0.769141723169,0.687142675074
p90_minus_mean,Both,all,66.7128620833,1,2624.19307634,0.769307094427,0.68757304023
p90_minus_mean,Both,all,66.7458024507,1,1793.69061697,0.769472465685,0.687867203776
p90_minus_mean,Both,all,66.7741106746,1,491.117394996,0.769637836944,0.68794774656
p90_minus_mean,Both,all,66.7964762052,1,1408.53421124,0.769803208202,0.688178744824
p90_minus_mean,Both,all,66.8750607061,1,1604.86490668,0.769968579461,0.688441941135
p90_minus_mean,Both,all,66.8766662783,1,1819.80290025,0.770133950719,0.688740387071
p90_minus_mean,Both,all,66.893074721,1,1339.02013539,0.770299321978,0.688959985093
p90_minus_mean,Both,all,66.9346733549,1,2689.7258189,0.770464693236,0.689401097557
p90_minus_mean,Both,all,66.9395823613,1,1316.58513595,0.770630064495,0.68961701626
p90_minus_mean,Both,all,66.955021838,1,364.364143693,0.770795435753,0.689676771632
p90_minus_mean,Both,all,66.9844796577,1,2693.68978325,0.770960807012,0.690118534181
p90_minus_mean,Both,all,66.9976884065,1,1857.34892919,0.77112617827,0.69042313763
p90_minus_mean,Both,all,67.0053100347,1,2363.5275299,0.771291549529,0.690810753886
p90_minus_mean,Both,all,67.0545421593,1,909.404698749,0.771456920787,0.690959895387
p90_minus_mean,Both,all,67.074217537,1,1328.51266639,0.771622292046,0.691177770195
p90_minus_mean,Both,all,67.1220722638,1,1262.97738468,0.771787663304,0.691384897279
p90_minus_mean,Both,all,67.1306407115,1,3097.8128002,0.771953034563,0.691892935617
p90_minus_mean,Both,all,67.1403309099,1,3.40702836323,0.772118405821,0.691893494366
p90_minus_mean,Both,all,67.217978564,1,3871.12702967,0.77228377708,0.692528355499
p90_minus_mean,Both,all,67.2942318901,1,927.209119175,0.772449148338,0.692680416908
p90_minus_mean,Both,all,67.3014543384,1,39.1782353993,0.772614519596,0.692686842101
p90_minus_mean,Both,all,67.3127468983,1,115.182370383,0.772779890855,0.6927057319
p90_minus_mean,Both,all,67.3146652544,1,434.726109793,0.772945262113,0.692777026566
p90_minus_mean,Both,all,67.4079350845,1,1068.87047076,0.773110633372,0.692952320302
p90_minus_mean,Both,all,67.4430214355,1,42.6384765583,0.77327600463,0.692959312971
p90_minus_mean,Both,all,67.4661089441,1,1177.594996,0.773441375889,0.693152437425
p90_minus_mean,Both,all,67.4724300002,1,3182.78727015,0.773606747147,0.693674411495
p90_minus_mean,Both,all,67.4738083175,1,1870.98755932,0.773772118406,0.693981251666
p90_minus_mean,Both,all,67.5335898579,1,2546.29049548,0.773937489664,0.694398840874
p90_minus_mean,Both,all,67.5518075752,1,1067.48745813,0.774102860923,0.694573907796
p90_minus_mean,Both,all,67.5769617429,1,2084.65022339,0.774268232181,0.69491578844
p90_minus_mean,Both,all,67.6413125807,1,1103.85576236,0.77443360344,0.69509681973
p90_minus_mean,Both,all,67.7320669321,1,1184.43339416,0.774598974698,0.695291065675
p90_minus_mean,Both,all,67.8232468247,1,969.469833905,0.774764345957,0.695450057801
p90_minus_mean,Both,all,67.8369231656,1,1327.43226396,0.774929717215,0.695667755423
p90_minus_mean,Both,all,67.8696859333,1,55.8646739505,0.775095088474,0.695676917177
p90_minus_mean,Both,all,67.956024849,1,2961.95578397,0.775260459732,0.696162675094
p90_minus_mean,Both,all,67.9621652137,1,655.248502343,0.775425830991,0.696270135222
p90_minus_mean,Both,all,67.9898573513,1,6.92315519143,0.775591202249,0.696271270613
p90_minus_mean,Both,all,67.9914215005,1,1845.18772397,0.775756573508,0.696573879636
p90_minus_mean,Both,all,68.0339930067,1,2326.13934301,0.775921944766,0.696955364265
