comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-4.19488167219,1,2074.66638944,0.0114106168348,0.00743287790385
p90_minus_mean,Both,all,-4.10506044732,1,57.2000564201,0.0115759880933,0.00744225865842
p90_minus_mean,Both,all,-4.08601369021,1,258.054676402,0.0117413593517,0.00748457937869
p90_minus_mean,Both,all,-4.05073033793,1,3864.87496041,0.0119067306102,0.00811841517793
p90_minus_mean,Both,all,-4.01506507883,1,73.195169053,0.0120721018687,0.00813041911569
p90_minus_mean,Both,all,-3.98331595747,1,19.0139048931,0.0122374731272,0.00813353737792
p90_minus_mean,Both,all,-3.90586375637,1,1470.70035238,0.0124028443856,0.00837473082993
p90_minus_mean,Both,all,-3.80150789621,1,434.544465803,0.0125682156441,0.00844599570695
p90_minus_mean,Both,all,-3.75253610372,1,37.8743936174,0.0127335869026,0.0084522070713
p90_minus_mean,Both,all,-3.55813427404,1,29.8279174777,0.0128989581611,0.00845709882126
p90_minus_mean,Both,all,-3.48929572102,1,2978.86182059,0.0130643294195,0.00894562931247
p90_minus_mean,Both,all,-3.43618712886,1,3026.56241369,0.013229700678,0.00944198265535
p90_minus_mean,Both,all,-3.37740184302,1,1964.31108769,0.0133950719365,0.00976412779613
p90_minus_mean,Both,all,-3.34563906077,1,45.394761999,0.013560443195,0.00977157249371
p90_minus_mean,Both,all,-3.29259278324,1,483.146001771,0.0137258144534,0.00985080797618
p90_minus_mean,Both,all,-3.24062218723,1,171.848291908,0.0138911857119,0.00987899093179
p90_minus_mean,Both,all,-3.21735845435,1,465.69383136,0.0140565569704,0.009955364275
p90_minus_mean,Both,all,-3.16769006916,1,2585.22147413,0.0142219282289,0.0103793381257
p90_minus_mean,Both,all,-3.07817898609,1,528.338125733,0.0143872994873,0.0104659850733
p90_minus_mean,Both,all,-3.05668339982,1,3151.68492546,0.0145526707458,0.0109828583885
p90_minus_mean,Both,all,-3.01342155992,1,2101.72999564,0.0147180420043,0.0113275400988
p90_minus_mean,Both,all,-2.94250011804,1,102.316224113,0.0148834132628,0.0113443198618
p90_minus_mean,Both,all,-2.93856400646,1,630.44390801,0.0150487845213,0.0114477120601
p90_minus_mean,Both,all,-2.90554096844,1,388.110625071,0.0152141557797,0.0115113618316
p90_minus_mean,Both,all,-2.84504789668,1,155.421756646,0.0153795270382,0.0115368508511
p90_minus_mean,Both,all,-2.73603264786,1,2083.21145762,0.0155448982967,0.0118784955389
p90_minus_mean,Both,all,-2.60510790783,1,1134.70947413,0.0157102695552,0.012064586808
p90_minus_mean,Both,all,-2.56928188793,1,498.362787123,0.0158756408136,0.0121463178288
p90_minus_mean,Both,all,-2.5630474435,1,65.5519312569,0.0160410120721,0.0121570682828
p90_minus_mean,Both,all,-2.53134068289,1,550.949830878,0.0162063833306,0.0122474235285
p90_minus_mean,Both,all,-2.46171957554,1,242.890147039,0.0163717545891,0.0122872572804
p90_minus_mean,Both,all,-2.38019799657,1,118.807286565,0.0165371258475,0.0123067415619
p90_minus_mean,Both,all,-2.37379406703,1,2367.05081692,0.016702497106,0.0126949356333
p90_minus_mean,Both,all,-2.35490346339,1,124.540153323,0.0168678683645,0.0127153600994
